MeasurementIndex,PositionIndex,MeasurementName,x[micron],y[micron],z[micron]
1,0,P1,64591.622571620763,32259.328852359642,2079.6599999999999
2,0,P2,64591.622571620763,32259.328852359642,2079.9099999999999
3,0,P3,64591.622571620763,32259.328852359642,2080.1599999999999
4,0,P4,64591.622571620763,32259.328852359642,2080.4099999999999
5,0,P5,64591.622571620763,32259.328852359642,2080.6599999999999
6,0,P6,64591.622571620763,32259.328852359642,2080.9099999999999
7,0,P7,64591.622571620763,32259.328852359642,2081.1599999999999
8,0,P8,64591.622571620763,32259.328852359642,2081.4099999999999
9,0,P9,64591.622571620763,32259.328852359642,2081.6599999999999
10,0,P10,64591.622571620763,32259.328852359642,2081.9099999999999
11,0,P11,64591.622571620763,32259.328852359642,2082.1599999999999
12,0,P12,64591.622571620763,32259.328852359642,2082.4099999999999
13,1,P13,64592.931662529852,32259.261719492511,2079.5700000000002
14,1,P14,64592.931662529852,32259.261719492511,2079.8200000000002
15,1,P15,64592.931662529852,32259.261719492511,2080.0700000000002
16,1,P16,64592.931662529852,32259.261719492511,2080.3200000000002
17,1,P17,64592.931662529852,32259.261719492511,2080.5700000000002
18,1,P18,64592.931662529852,32259.261719492511,2080.8200000000002
19,1,P19,64592.931662529852,32259.261719492511,2081.0700000000002
20,1,P20,64592.931662529852,32259.261719492511,2081.3200000000002
21,1,P21,64592.931662529852,32259.261719492511,2081.5700000000002
22,1,P22,64592.931662529852,32259.261719492511,2081.8200000000002
23,1,P23,64592.931662529852,32259.261719492511,2082.0700000000002
24,1,P24,64592.931662529852,32259.261719492511,2082.3200000000002
25,2,P25,64594.173620571812,32259.429551660342,2079.5799999999999
26,2,P26,64594.173620571812,32259.429551660342,2079.8299999999999
27,2,P27,64594.173620571812,32259.429551660342,2080.0799999999999
28,2,P28,64594.173620571812,32259.429551660342,2080.3299999999999
29,2,P29,64594.173620571812,32259.429551660342,2080.5799999999999
30,2,P30,64594.173620571812,32259.429551660342,2080.8299999999999
31,2,P31,64594.173620571812,32259.429551660342,2081.0799999999999
32,2,P32,64594.173620571812,32259.429551660342,2081.3299999999999
33,2,P33,64594.173620571812,32259.429551660342,2081.5799999999999
34,2,P34,64594.173620571812,32259.429551660342,2081.8299999999999
35,2,P35,64594.173620571812,32259.429551660342,2082.0799999999999
36,2,P36,64594.173620571812,32259.429551660342,2082.3299999999999
37,3,P37,64595.449145047336,32259.395985226776,2079.8200000000002
38,3,P38,64595.449145047336,32259.395985226776,2080.0700000000002
39,3,P39,64595.449145047336,32259.395985226776,2080.3200000000002
40,3,P40,64595.449145047336,32259.395985226776,2080.5700000000002
41,3,P41,64595.449145047336,32259.395985226776,2080.8200000000002
42,3,P42,64595.449145047336,32259.395985226776,2081.0700000000002
43,3,P43,64595.449145047336,32259.395985226776,2081.3200000000002
44,3,P44,64595.449145047336,32259.395985226776,2081.5700000000002
45,3,P45,64595.449145047336,32259.395985226776,2081.8200000000002
46,3,P46,64595.449145047336,32259.395985226776,2082.0700000000002
47,3,P47,64595.449145047336,32259.395985226776,2082.3200000000002
48,3,P48,64595.449145047336,32259.395985226776,2082.5700000000002
